# 
# 07/18/2024 10:57:36
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,1.4808090000000007E-07,-2.7141679258579997E-06,0,7.146289E-11,0,-2.566015562968E-06,3.378089952E-07,-2.228206567768E-06,0.21,749.97653,2.7140855E-06,-8.2425858E-11,4.2310748E-09,-1.0962968E-11,1.05,2.5660046E-06,1.05,-3.4204007E-07,0.0023321581,0.1057769,749.98306,0.96999999,749.98659,749.98187,0.002448766005,0.21,0.96999999,0.030000012,0.20999994,0.96999998,0.030000024,1,35.571427,91.891251
DP 1,1.03,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.00110377158,0.00029876023936,2.9999999999752447E-06,1.4043329000000002E-07,2.899999999916858E-06,0.0014085722526498922,0.002359950513,0.0037685227656498923,0.20998881,750.0115,-0.00029891962,-1.5938064E-07,4.7958187E-05,-1.894735E-08,1.0300001,-0.0014026912,1.030003,-0.0024079087,11.685294,0.10586107,750.02798,0.96985782,750.03214,750.01978,12.03585282,0.20998881,0.96985782,0.030142182,0.2097176,0.96971609,0.030283907,0.9809523809523808,35.575113,91.911292
DP 2,1,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.0029291665999999997,0.00079351550274000008,7.899999999949614E-06,3.73241512E-07,7.7000000000548852E-06,0.0037386553442520041,0.0055790972,0.0093177525442520032,0.20997026,750.08593,-0.0007939391,-4.2359726E-07,0.0001275207,-5.0355748E-08,1.0000002,-0.0037231057,1.0000079,-0.0057066179,31.061665,0.10604046,750.1236,0.96962204,750.13913,750.09116,31.061665,0.20997026,0.96962204,0.030377959,0.20924908,0.96924525,0.030754747,0.95238095238095233,35.578047,91.947076
DP 3,0.95,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.0064742904000000007,0.00175781055308,1.7470000000074926E-05,8.2856322E-07,1.7040000000023703E-05,0.0082674395163001,0.010091601569999999,0.0183590410863001,0.20993397,750.27977,-0.0017587509,-9.4034692E-07,0.00028329843,-1.117837E-07,0.95000043,-0.0082330413,0.95001747,-0.0103749,68.957569,0.10650879,750.37259,0.96916091,750.41774,750.27637,65.50969055,0.20993397,0.96916091,0.030839089,0.20833149,0.96832414,0.031675863,0.90476190476190477,35.587594,92.024526
DP 4,0.9,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.0106460419,0.0029004803501,2.892999999992707E-05,1.37169218E-06,2.8209999999972979E-05,0.013605033942279899,0.013663376080000001,0.0272684100222799,0.20989068,750.57809,-0.0029020371,-1.5567499E-06,0.00046950692,-1.8505772E-07,0.90000072,-0.013548079,0.90002893,-0.014132883,114.16148,0.10723294,750.75575,0.96861085,750.84655,750.56129,102.745332,0.20989068,0.96861085,0.031389148,0.20723376,0.96722468,0.03277532,0.85714285714285721,35.600709,92.127272
DP 5,0.85,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.015372458499999998,0.0042087470765000004,4.2190000000053018E-05,1.99964766E-06,4.1139999999995069E-05,0.019666535224160047,0.01651714032,0.036183675544160049,0.20984062,750.9988,-0.0042110165,-2.2694235E-06,0.00068546568,-2.6977584E-07,0.85000105,-0.019583475,0.85004219,-0.017202606,166.4254,0.10826127,751.29609,0.96797488,751.45142,750.96291,141.46159,0.20984062,0.96797488,0.03202512,0.20595898,0.96595213,0.034047866,0.80952380952380953,35.622351,92.257744
DP 6,0.8,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.020568991699999997,0.0056684869199,5.7199999999979489E-05,2.70979726E-06,5.5780000000060781E-05,0.026353168417160039,0.01886951553,0.045222683947160038,0.209784,751.55952,-0.0056715623,-3.0753801E-06,0.00093073447,-3.6558284E-07,0.80000142,-0.026240554,0.8000572,-0.01980025,225.53033,0.10964477,752.01619,0.96725566,752.25789,751.49782,180.424264,0.209784,0.96725566,0.032744341,0.2045089,0.96451074,0.035489263,0.76190476190476186,35.649286,92.418353
DP 7,0.75,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.026175835099999996,0.0072748208881,7.4009999999957721E-05,3.5051298700000003E-06,7.2179999999977262E-05,0.033600351117969933,0.020892731900000003,0.054493083017969936,0.20972058,752.28088,-0.0072787989,-3.9780119E-06,0.0012069591,-4.7288203E-07,0.75000183,-0.033454634,0.75007401,-0.022099691,291.72497,0.11144664,752.94253,0.96645016,753.29597,752.18538,218.7937275,0.20972058,0.96645016,0.033549842,0.20287295,0.96289298,0.037107018,0.7142857142857143,35.686008,92.612551
DP 8,0.7,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP 9,0.65,5,1000,4.9334396119468057E-06,8.5022890778286461E-08,750,0.038550172,0.010974018608,0.0001142199999999427,5.4051730199999995E-06,0.00011138999999993349,0.049755205781019878,0.0244487038,0.074203909581019883,0.20956903,754.32578,-0.010980153,-6.134392E-06,0.0018746322,-7.2921898E-07,0.65000283,-0.049530325,0.65011422,-0.026323336,449.8641,0.11669114,755.56805,0.96452578,756.24212,754.13085,292.411665,0.20956903,0.96452578,0.035474215,0.19890819,0.95901053,0.040989466,0.619047619047619,35.786731,93.125599
