# 
# 07/19/2024 09:19:35
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,2.1309159999999973E-07,-4.225443492792E-06,0,1.46292355E-11,0,-4.0123372635565E-06,1.683446106E-07,-3.8439926529565E-06,0.21,699.91544,4.2254268E-06,-1.6692792E-11,2.3817694E-09,-2.0635565E-12,1.05,4.0123352E-06,1.05,-1.7072638E-07,0.00091955437,0.040823021,699.94826,0.96999999,699.95952,699.94394,0.0009655320885,0.21,0.96999999,0.030000008,0.20999994,0.96999999,0.030000015,1,81.166,85.763396
DP 1,1.03,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.00099938511,0.00016978209953400001,9.9999999991773336E-07,4.9069274500000004E-08,9.9999999991773336E-07,0.0011712162788083357,0.00076233836200000006,0.0019335546408083357,0.20999805,699.92201,-0.00016983779,-5.5690466E-08,1.4587158E-05,-6.6211915E-09,1.03,-0.0011692229,1.030001,-0.00077692552,4.0813354,0.040832344,699.95943,0.96995034,699.96756,699.95647,4.203775462,0.20999805,0.96995034,0.030049655,0.20990056,0.96989906,0.03010094,0.980952380952381,81.168565,85.769512
DP 2,1,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.0025495759,0.00043321183256,2.5999999999637424E-06,1.25178318E-07,2.4999999999053557E-06,0.0029880129108778692,0.0018109427470000001,0.0047989556578778691,0.20999501,699.93521,-0.0004333539,-1.4206744E-07,3.7231653E-05,-1.6889122E-08,1.0000001,-0.0029829298,1.0000026,-0.0018481744,10.415888,0.040851097,699.98191,0.96987326,699.98374,699.98078,10.415888,0.20999501,0.96987326,0.030126736,0.20974615,0.96974236,0.030257638,0.95238095238095222,81.170184,85.779625
DP 3,0.95,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.0052591374899999994,0.00089398638885,5.4400000000232041E-06,2.58451966E-07,5.2999999999858716E-06,0.0061641223308160084,0.003329801,0.0094939233308160079,0.2099897,699.96664,-0.00089427971,-2.9332115E-07,7.68888E-05,-3.4869184E-08,0.95000014,-0.0061534172,0.95000544,-0.0034066898,21.5082,0.04089574,700.03537,0.96973829,700.04324,700.01996,20.432789999999997,0.2099897,0.96973829,0.030261711,0.2094756,0.96946794,0.030532065,0.90476190476190455,81.174524,85.799041
DP 4,0.9,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.0081055140000000012,0.00137867766035,8.400000000019503E-06,3.98919839E-07,8.1900000000745266E-06,0.0095011805801890944,0.00460803603,0.014109216610189095,0.20998411,700.01046,-0.0013791304,-4.5273965E-07,0.00011869837,-5.3819811E-08,0.90000021,-0.0094846444,0.9000084,-0.0047267344,33.199215,0.040958104,700.10996,0.96959603,700.12823,700.0729,29.879293500000003,0.20998411,0.96959603,0.03040397,0.20919015,0.96917862,0.030821377,0.8571428571428571,81.180941,85.82171
DP 5,0.85,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.0110659538,0.0018837488948800002,1.1500000000053134E-05,5.45685097E-07,1.1210000000039244E-05,0.012972958379977093,0.00569538097,0.018668339349977095,0.20997826,700.06732,-0.0018843682,-6.1930512E-07,0.00016240183,-7.3620023E-08,0.85000029,-0.012950322,0.8500115,-0.0058577828,45.414305,0.041039135,700.20673,0.96944739,700.2385,700.14157,38.60215925,0.20997826,0.96944739,0.030552607,0.2088915,0.96887623,0.03112377,0.80952380952380953,81.189657,85.84767
DP 6,0.8,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.0141220409,0.00240643283534,1.4709999999973356E-05,6.98084358E-07,1.4340000000001574E-05,0.016558221819697978,0.00663311704,0.023191338859697978,0.20997219,700.13777,-0.0024072251,-7.9226466E-07,0.00020781136,-9.4180302E-08,0.80000037,-0.016529266,0.80001471,-0.0068409284,58.098316,0.041139727,700.32662,0.96929305,700.37514,700.22664,46.4786528,0.20997219,0.96929305,0.030706951,0.20858089,0.96856207,0.031437925,0.761904761904762,81.200592,85.876972
DP 7,0.75,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.0172602246,0.0029448202396599996,1.8030000000002211E-05,8.5571409E-07,1.7579999999961515E-05,0.020241510553749963,0.0074534861500000008,0.027694996703749964,0.2099659,700.22236,-0.0029457914,-9.7116034E-07,0.00025481755,-1.1544625E-07,0.75000045,-0.020206016,0.75001803,-0.0077083037,71.217719,0.04126079,700.47059,0.96913341,700.53923,700.32875,53.413289250000005,0.2099659,0.96913341,0.030866592,0.20825901,0.96823694,0.031763064,0.7142857142857143,81.213964,85.909687
DP 8,0.7,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.0204711578,0.0034977504043,2.1460000000028678E-05,1.0184012E-06,2.0930000000030091E-05,0.024012316605500059,0.00818116125,0.032193477855500058,0.20995942,700.32168,-0.0034989062,-1.1557957E-06,0.00030338035,-1.373945E-07,0.70000053,-0.023970064,0.70002146,-0.0084845416,84.758098,0.041403306,700.63959,0.96896864,700.73191,700.44858,59.330668599999996,0.20995942,0.96896864,0.031031357,0.20792608,0.96790111,0.032098885,0.66666666666666652,81.229844,85.945916
DP 9,0.65,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,700,0.023748842,0.0040646698151000004,2.4999999999941735E-05,1.18615808E-06,2.4379999999935009E-05,0.027864077973179878,0.00883500561,0.03669908358317988,0.20995274,700.43634,-0.004066016,-1.3461849E-06,0.00035351779,-1.6002682E-07,0.65000062,-0.027814858,0.650025,-0.0091885234,98.720811,0.041568371,700.8347,0.96879874,700.95442,700.58687,64.16852715,0.20995274,0.96879874,0.031201263,0.20758195,0.96755451,0.032445486,0.61904761904761907,81.244832,85.985788
