# 
# 04/09/2026 17:51:58
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1073.15,1.4261250000000073E-12,-6.1458973507000008E-11,0,2.23080629E-14,0,-6.0010540444100007E-11,2.810665E-11,-3.1903890444100008E-11,0.21,1073.1441,6.1433116E-11,-2.5857507E-14,1E-10,-3.5494441E-15,1.05,6.0006991E-11,1.05,-1.2810665E-10,-7.9164502E-06,2.3704794,1073.1447,0.97,1073.1456,1073.1445,-8.31227271E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,17.154456,131.46079
DP 1,1.03,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1072.85,0.00023926020999999996,0.00055543997901,1.4399999999969992E-05,6.8165904E-07,1.399999999995849E-05,0.00082378184804992845,0.01863213283,0.019455914678049926,0.20986416,1073.183,-0.0005562136,-7.7362099E-07,0.00047687617,-9.196195E-08,1.0300004,-0.00079547381,1.0300144,-0.019109009,56.736485,2.3713581,1073.1865,0.96930961,1073.2211,1073.1061,58.43857955,0.20986416,0.96930961,0.030690394,0.20876402,0.96873814,0.031261858,0.9809523809523808,17.153911,131.56644
DP 2,1,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1072.05,0.00072209809999999983,0.0016777619117,4.3599999999921479E-05,2.05759701E-06,4.2499999999945359E-05,0.0024880176087098663,0.0458688011,0.048356818708709871,0.20958985,1073.1884,-0.0016800971,-2.3351883E-06,0.0014406539,-2.7759129E-07,1.0000011,-0.0024021952,1.0000436,-0.047309455,171.25379,2.3716228,1073.1991,0.96791612,1073.316,1072.925,171.25379,0.20958985,0.96791612,0.032083882,0.20627748,0.96619203,0.033807967,0.95238095238095233,17.147197,131.77006
DP 3,0.95,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1069.55,0.0020368944,0.0047513187520000005,0.00012441000000007474,5.8153013600000007E-06,0.00012137000000000953,0.0070398084533600845,0.0883087577,0.095348566153360084,0.20883975,1073.3643,-0.0047579186,-6.599848E-06,0.0040824553,-7.8454664E-07,0.95000304,-0.006794813,0.95012441,-0.092391213,484.00167,2.3761897,1073.3985,0.96411042,1073.7889,1072.4819,459.8015865,0.20883975,0.96411042,0.035889582,0.19954006,0.95924519,0.040754809,0.90476190476190477,17.130044,132.34148
DP 4,0.9,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1064.25,0.004308387,0.010118747453,0.000268379999999957,1.23433036E-05,0.00026192000000002658,0.014969777756599984,0.12513153400000002,0.1401013117566,0.20753325,1073.6375,-0.010132756,-1.4008547E-05,0.008703896,-1.6652434E-06,0.90000646,-0.014441143,0.90026838,-0.13383543,1027.316,2.3845374,1073.7211,0.95749882,1074.68,1071.4685,924.58440000000007,0.20753325,0.95749882,0.042501176,0.18801217,0.94720153,0.052798468,0.85714285714285721,17.103517,133.31547
DP 5,0.85,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1054.85,0.0077476219999999991,0.018421119042,0.00049754000000001852,2.23594376E-05,0.00048583999999995964,0.027174480479599979,0.154824952,0.18199943247959996,0.20552028,1074.2789,-0.018446495,-2.5375958E-05,0.015876528,-3.0165204E-06,0.8500117,-0.026194117,0.85049754,-0.17070148,1860.9377,2.4023069,1074.4532,0.94735399,1076.4332,1069.8006,1581.797045,0.20552028,0.94735399,0.052646008,0.17081887,0.92878497,0.071215031,0.80952380952380953,17.067969,134.80264
DP 6,0.8,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1039.85,0.012242956000000003,0.029515313522,0.0008186399999999816,3.56217529E-05,0.00080000000000002292,0.0434125312749,0.177789426,0.2212019572749,0.2028392,1074.8076,-0.029555741,-4.0427478E-05,0.025494264,-4.8057251E-06,0.80001864,-0.041798697,0.80081864,-0.20328369,2964.7235,2.4225755,1075.1269,0.93392064,1078.6797,1066.7802,2371.7788,0.2028392,0.93392064,0.066079362,0.14955568,0.90451111,0.095488893,0.76190476190476186,17.010804,136.66974
DP 7,0.75,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,1018.05,0.017450767,0.042287595686999996,0.0012244399999999933,5.0838728600000005E-05,0.0011978400000000056,0.062211481415599991,0.196614008,0.2588254894156,0.19974073,1073.87,-0.042345293,-5.7697313E-05,0.036558912,-6.8585844E-06,0.7500266,-0.05979606,0.75122444,-0.23317292,4231.1611,2.4261121,1074.3953,0.91850694,1080.0518,1061.1235,3173.370825,0.19974073,0.91850694,0.081493062,0.12974962,0.87681394,0.12318605,0.7142857142857143,16.920621,138.53416
DP 8,0.7,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,989.94999999999993,0.022953131999999994,0.055313259201000005,0.0017022200000000876,6.65718433E-05,0.0016673900000000463,0.081702573044300134,0.214590624,0.29629319704430013,0.19651199,1071.2048,-0.055388812,-7.5552799E-05,0.047786926,-8.9809557E-06,0.70003483,-0.078341944,0.70170222,-0.26237755,5540.4813,2.4149301,1072.0004,0.90257055,1080.2083,1052.7847,3878.33691,0.19651199,0.90257055,0.097429444,0.11803946,0.84834984,0.15165016,0.66666666666666652,16.800195,140.15605
DP 9,0.65,2,1000,1.9733758447787224E-06,8.5022890778286461E-08,956.44999999999993,0.028687745,0.068750991883,0.0022377599999999775,8.3138366E-05,0.0021942600000000034,0.10195389524899999,0.23148537899999996,0.33343927424899994,0.19308408,1068.5919,-0.068845346,-9.4354117E-05,0.059358551,-1.1215751E-05,0.6500435,-0.097533091,0.65223776,-0.29084393,6919.1534,2.4126533,1069.7298,0.88578941,1080.9991,1043.3695,4497.44971,0.19308408,0.88578941,0.11421059,0.11022348,0.81856421,0.18143579,0.619047619047619,16.666796,141.79343
