record_id,source_file,source_stem,run_timestamp,Name,dp_index,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
1,calc1.csv,calc1,07/18/2024 10:57:36,DP 0,0,1.05,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,1.480809000000001e-07,-2.714167925858e-06,0.0,7.146289e-11,0.0,-2.566015562968e-06,3.378089952e-07,-2.228206567768e-06,0.21,749.97653,2.7140855e-06,-8.2425858e-11,4.2310748e-09,-1.0962968e-11,1.05,2.5660046e-06,1.05,-3.4204007e-07,0.0023321581,0.1057769,749.98306,0.96999999,749.98659,749.98187,0.002448766005,0.21,0.96999999,0.030000012,0.20999994,0.96999998,0.030000024,1.0,35.571427,91.891251
2,calc1.csv,calc1,07/18/2024 10:57:36,DP 1,1,1.03,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.00110377158,0.00029876023936,2.9999999999752447e-06,1.4043329000000004e-07,2.899999999916858e-06,0.0014085722526498,0.002359950513,0.0037685227656498,0.20998881,750.0115,-0.00029891962,-1.5938064e-07,4.7958187e-05,-1.894735e-08,1.0300001,-0.0014026912,1.030003,-0.0024079087,11.685294,0.10586107,750.02798,0.96985782,750.03214,750.01978,12.03585282,0.20998881,0.96985782,0.030142182,0.2097176,0.96971609,0.030283907,0.9809523809523808,35.575113,91.911292
3,calc1.csv,calc1,07/18/2024 10:57:36,DP 2,2,1.0,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0029291665999999,0.00079351550274,7.899999999949614e-06,3.73241512e-07,7.700000000054885e-06,0.003738655344252,0.0055790972,0.009317752544252,0.20997026,750.08593,-0.0007939391,-4.2359726e-07,0.0001275207,-5.0355748e-08,1.0000002,-0.0037231057,1.0000079,-0.0057066179,31.061665,0.10604046,750.1236,0.96962204,750.13913,750.09116,31.061665,0.20997026,0.96962204,0.030377959,0.20924908,0.96924525,0.030754747,0.9523809523809524,35.578047,91.947076
4,calc1.csv,calc1,07/18/2024 10:57:36,DP 3,3,0.95,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0064742904,0.00175781055308,1.7470000000074926e-05,8.2856322e-07,1.7040000000023703e-05,0.0082674395163001,0.0100916015699999,0.0183590410863001,0.20993397,750.27977,-0.0017587509,-9.4034692e-07,0.00028329843,-1.117837e-07,0.95000043,-0.0082330413,0.95001747,-0.0103749,68.957569,0.10650879,750.37259,0.96916091,750.41774,750.27637,65.50969055,0.20993397,0.96916091,0.030839089,0.20833149,0.96832414,0.031675863,0.9047619047619048,35.587594,92.024526
5,calc1.csv,calc1,07/18/2024 10:57:36,DP 4,4,0.9,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0106460419,0.0029004803501,2.892999999992707e-05,1.37169218e-06,2.8209999999972976e-05,0.0136050339422798,0.01366337608,0.0272684100222799,0.20989068,750.57809,-0.0029020371,-1.5567499e-06,0.00046950692,-1.8505772e-07,0.90000072,-0.013548079,0.90002893,-0.014132883,114.16148,0.10723294,750.75575,0.96861085,750.84655,750.56129,102.745332,0.20989068,0.96861085,0.031389148,0.20723376,0.96722468,0.03277532,0.8571428571428572,35.600709,92.127272
6,calc1.csv,calc1,07/18/2024 10:57:36,DP 5,5,0.85,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0153724584999999,0.0042087470765,4.219000000005302e-05,1.99964766e-06,4.113999999999506e-05,0.01966653522416,0.01651714032,0.03618367554416,0.20984062,750.9988,-0.0042110165,-2.2694235e-06,0.00068546568,-2.6977584e-07,0.85000105,-0.019583475,0.85004219,-0.017202606,166.4254,0.10826127,751.29609,0.96797488,751.45142,750.96291,141.46159,0.20984062,0.96797488,0.03202512,0.20595898,0.96595213,0.034047866,0.8095238095238095,35.622351,92.257744
7,calc1.csv,calc1,07/18/2024 10:57:36,DP 6,6,0.8,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0205689916999999,0.0056684869199,5.719999999997949e-05,2.70979726e-06,5.578000000006078e-05,0.02635316841716,0.01886951553,0.04522268394716,0.209784,751.55952,-0.0056715623,-3.0753801e-06,0.00093073447,-3.6558284e-07,0.80000142,-0.026240554,0.8000572,-0.01980025,225.53033,0.10964477,752.01619,0.96725566,752.25789,751.49782,180.424264,0.209784,0.96725566,0.032744341,0.2045089,0.96451074,0.035489263,0.7619047619047618,35.649286,92.418353
8,calc1.csv,calc1,07/18/2024 10:57:36,DP 7,7,0.75,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0261758350999999,0.0072748208881,7.400999999995773e-05,3.5051298700000003e-06,7.217999999997726e-05,0.0336003511179699,0.0208927319,0.0544930830179699,0.20972058,752.28088,-0.0072787989,-3.9780119e-06,0.0012069591,-4.7288203e-07,0.75000183,-0.033454634,0.75007401,-0.022099691,291.72497,0.11144664,752.94253,0.96645016,753.29597,752.18538,218.7937275,0.20972058,0.96645016,0.033549842,0.20287295,0.96289298,0.037107018,0.7142857142857143,35.686008,92.612551
9,calc1.csv,calc1,07/18/2024 10:57:36,DP 8,8,0.7,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,calc1.csv,calc1,07/18/2024 10:57:36,DP 9,9,0.65,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.038550172,0.010974018608,0.0001142199999999,5.40517302e-06,0.0001113899999999,0.0497552057810198,0.0244487038,0.0742039095810198,0.20956903,754.32578,-0.010980153,-6.134392e-06,0.0018746322,-7.2921898e-07,0.65000283,-0.049530325,0.65011422,-0.026323336,449.8641,0.11669114,755.56805,0.96452578,756.24212,754.13085,292.411665,0.20956903,0.96452578,0.035474215,0.19890819,0.95901053,0.040989466,0.619047619047619,35.786731,93.125599
11,calc1.csv,calc1,07/18/2024 10:57:36,DP 10,10,0.6,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.04536928,0.0131322375749,0.0001388199999999,6.56652673e-06,0.0001353799999999,0.0587822841016298,0.0261810974,0.0849633815016298,0.20947638,755.74515,-0.01313969,-7.4524251e-06,0.0022888266,-8.8589837e-07,0.60000344,-0.05850897,0.60013882,-0.028469924,546.52332,0.12045301,757.39021,0.96334953,758.29026,755.47819,327.913992,0.20947638,0.96334953,0.03665047,0.19644268,0.95662383,0.043376169,0.5714285714285714,35.861183,93.464912
12,calc1.csv,calc1,07/18/2024 10:57:36,DP 11,11,0.55,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.052713844,0.0155828355039,0.0001679599999999,7.9402667e-06,0.0001638,0.0686363797706,0.0280197956,0.0966561753706,0.20936675,757.53868,-0.015591847,-9.0114961e-06,0.0027852474,-1.0712294e-06,0.55000416,-0.068305691,0.55016796,-0.030805043,660.85884,0.12535292,759.69242,0.96195816,760.88203,757.17721,363.472362,0.20936675,0.96195816,0.038041845,0.19348368,0.95378659,0.046213407,0.5238095238095238,35.955673,93.88347
13,calc1.csv,calc1,07/18/2024 10:57:36,DP 12,12,0.5,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0607466839999999,0.018453581985,0.0002039099999999,9.6324863e-06,0.0001988699999999,0.0796126784712999,0.0301117873,0.1097244657712999,0.20923166,759.86156,-0.018464514,-1.0932015e-05,0.0034068017,-1.2995287e-06,0.50000504,-0.079211198,0.50020391,-0.033518589,801.69976,0.13194874,762.67364,0.9602442,764.24487,759.37199,400.84988,0.20923166,0.9602442,0.039755797,0.18977519,0.95027065,0.049729347,0.4761904761904761,36.078424,94.415788
14,calc1.csv,calc1,07/18/2024 10:57:36,DP 13,13,0.4,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.080519524,0.026826151165,0.0003218399999999,1.5159632e-05,0.0003139099999999,0.1079965847969999,0.0365250067,0.1445215914969999,0.20879013,767.75567,-0.026843356,-1.7204835e-05,0.0055159053,-2.045203e-06,0.40000793,-0.10736288,0.40032184,-0.042040912,1261.7138,0.15660396,772.80213,0.95464588,775.72386,766.78637,504.68552,0.20879013,0.95464588,0.045354125,0.17720451,0.93863929,0.061360714,0.3809523809523809,36.49621,96.195548
15,calc1.csv,calc1,07/18/2024 10:57:36,DP 14,14,0.3,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.03394266,0.18026899916,0.00784505,0.0002418179319999,0.00771853,0.230017057092,0.3232196599999999,0.553236717092,0.19025866,1002.8957,-0.18054344,-0.00027444084,0.16356501,-3.2622908e-05,0.30012652,-0.2144861,0.30784505,-0.48678467,20125.538,6.1964382,1085.9781,0.72502225,1124.9022,1002.0647,6037.6614,0.19025866,0.72502225,0.27497775,0.085346733,0.53446346,0.46553654,0.2857142857142857,48.307712,158.04929
16,j-cell-40x40-xchem2t-dp-params-3.csv,j-cell-40x40-xchem2t-dp-params-3,07/18/2024 10:52:40,DP 0,0,1.05,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,1.7157240000000004e-07,-3.145292031277e-06,0.0,7.3225122e-11,0.0,-2.973646406155e-06,3.914611518e-07,-2.582185254355e-06,0.21,749.97653,3.1452076e-06,-8.4431277e-11,4.8522582e-09,-1.1206155e-11,1.05,2.9736352e-06,1.05,-3.9631341e-07,0.0025574064,0.1057769,749.98306,0.96999999,749.98659,749.98187,0.00268527672,0.21,0.96999999,0.030000014,0.20999992,0.96999997,0.030000028,1.0,35.571431,91.891251
17,j-cell-40x40-xchem2t-dp-params-3.csv,j-cell-40x40-xchem2t-dp-params-3,07/18/2024 10:52:40,DP 1,1,1.03,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.00110377158,0.00029876023936,2.9999999999752447e-06,1.4043329000000004e-07,2.899999999916858e-06,0.0014085722526498,0.002359950513,0.0037685227656498,0.20998881,750.0115,-0.00029891962,-1.5938064e-07,4.7958187e-05,-1.894735e-08,1.0300001,-0.0014026912,1.030003,-0.0024079087,11.685294,0.10586107,750.02798,0.96985782,750.03214,750.01978,12.03585282,0.20998881,0.96985782,0.030142182,0.2097176,0.96971609,0.030283907,0.9809523809523808,35.575113,91.911292
18,j-cell-40x40-xchem2t-dp-params-3.csv,j-cell-40x40-xchem2t-dp-params-3,07/18/2024 10:52:40,DP 2,2,1.0,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0029291665999999,0.00079351550256,7.899999999949614e-06,3.73241682e-07,7.700000000054885e-06,0.003738655344242,0.0055790972,0.009317752544242,0.20997026,750.08593,-0.0007939391,-4.2359744e-07,0.0001275207,-5.0355758e-08,1.0000002,-0.0037231057,1.0000079,-0.0057066179,31.061668,0.10604046,750.1236,0.96962204,750.13913,750.09116,31.061668,0.20997026,0.96962204,0.030377959,0.20924908,0.96924525,0.030754747,0.9523809523809524,35.578047,91.947076
19,j-cell-40x40-xchem2t-dp-params-3.csv,j-cell-40x40-xchem2t-dp-params-3,07/18/2024 10:52:40,DP 3,3,0.95,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0064742904,0.00175781055308,1.7470000000074926e-05,8.2856322e-07,1.7040000000023703e-05,0.0082674395163001,0.0100916015699999,0.0183590410863001,0.20993397,750.27977,-0.0017587509,-9.4034692e-07,0.00028329843,-1.117837e-07,0.95000043,-0.0082330413,0.95001747,-0.0103749,68.957569,0.10650879,750.37259,0.96916091,750.41774,750.27637,65.50969055,0.20993397,0.96916091,0.030839089,0.20833149,0.96832414,0.031675863,0.9047619047619048,35.587594,92.024526
20,j-cell-40x40-xchem2t-dp-params-3.csv,j-cell-40x40-xchem2t-dp-params-3,07/18/2024 10:52:40,DP 4,4,0.9,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0106460419,0.0029004803501,2.892999999992707e-05,1.37169218e-06,2.8209999999972976e-05,0.0136050339422798,0.01366337608,0.0272684100222799,0.20989068,750.57809,-0.0029020371,-1.5567499e-06,0.00046950692,-1.8505772e-07,0.90000072,-0.013548079,0.90002893,-0.014132883,114.16148,0.10723294,750.75575,0.96861085,750.84655,750.56129,102.745332,0.20989068,0.96861085,0.031389148,0.20723376,0.96722468,0.03277532,0.8571428571428572,35.600709,92.127272
21,j-cell-40x40-xchem2t-dp-params-3.csv,j-cell-40x40-xchem2t-dp-params-3,07/18/2024 10:52:40,DP 5,5,0.85,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.0153724584999999,0.0042087470765,4.219000000005302e-05,1.99964766e-06,4.113999999999506e-05,0.01966653522416,0.01651714032,0.03618367554416,0.20984062,750.9988,-0.0042110165,-2.2694235e-06,0.00068546568,-2.6977584e-07,0.85000105,-0.019583475,0.85004219,-0.017202606,166.4254,0.10826127,751.29609,0.96797488,751.45142,750.96291,141.46159,0.20984062,0.96797488,0.03202512,0.20595898,0.96595213,0.034047866,0.8095238095238095,35.622351,92.257744
