# 
# 07/18/2024 18:06:15
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,9.4468800000000066E-09,-1.8670466333E-07,0,6.2994727699999993E-11,0,-1.7719478860229968E-07,5.4352009989999994E-08,-1.2284277861229968E-07,0.21,799.89196,1.8663184E-07,-7.282333E-11,8.5382201E-10,-9.8286023E-12,1.05,1.7718496E-07,1.05,-5.5205832E-08,0.0011207075,0.24198049,799.93429,0.97,799.94867,799.92877,0.0011767428750000001,0.21,0.97,0.030000002,0.20999999,0.97,0.030000004,1,92.763247,98.008599
DP 1,1.03,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.00101994931,0.00043346204119,6.2999999999036049E-06,2.9689337199999996E-07,6.1000000000088761E-06,0.0014661082445619124,0.00546945921,0.0069355674545619125,0.20998817,799.93145,-0.00043379899,-3.3694881E-07,0.00011538219,-4.0055438E-08,1.0300002,-0.0014537483,1.0300063,-0.0055848414,24.707406,0.24223546,800.0023,0.96969936,800.00638,799.99508,25.44862818,0.20998817,0.96969936,0.030300639,0.20943565,0.96940958,0.030590423,0.98095238095238091,92.769372,98.049731
DP 2,1,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.002749711,0.00117014690664,1.6900000000097393E-05,8.0217042999999991E-07,1.650000000008589E-05,0.0039540600770701841,0.01299878511,0.016952845187070183,0.20996804,800.01722,-0.0011710573,-9.1039336E-07,0.00031196889,-1.0822293E-07,1.0000004,-0.0039207683,1.0000169,-0.013310754,66.760919,0.24279004,800.15,0.96918764,800.17481,800.09961,66.760919,0.20996804,0.96918764,0.030812359,0.20847453,0.96840451,0.03159549,0.95238095238095233,92.779416,98.123544999999993
DP 3,0.95,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.0063246755000000007,0.0027012739808,3.9210000000067247E-05,1.8566370899999998E-06,3.8239999999967189E-05,0.0091052561178900353,0.02368092707,0.032786183187890033,0.20992602,800.25227,-0.0027033811,-2.1071192E-06,0.00072318793,-2.5048211E-07,0.95000097,-0.0090280566,0.95003921,-0.024404115,154.52258,0.24431546,800.55478,0.96811972,800.63643,800.38615,146.796451,0.20992602,0.96811972,0.031880278,0.20646534,0.96630637,0.033693626,0.90476190476190466,92.810091,98.28901
DP 4,0.9,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.0109577579,0.0047082942003,6.87499999999508E-05,3.25038551E-06,6.7049999999957421E-05,0.015805102485809911,0.0321555132,0.047960615685809907,0.20987047,800.64407,-0.0047119831,-3.6888997E-06,0.0012691008,-4.3851419E-07,0.9000017,-0.015669741,0.90006875,-0.033424614,270.52246,0.24687609,801.22947,0.96670817,801.40613,800.86359,243.47021400000003,0.20987047,0.96670817,0.03329183,0.20379884,0.96353107,0.036468926,0.8571428571428571,92.864819,98.524071
DP 5,0.85,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.0167141729,0.0072479308273,0.00010673000000005484,5.03763834E-06,0.00010409000000000113,0.024177961365640054,0.0388517164,0.063029677765640058,0.20979923,801.2449,-0.0072536481,-5.7172727E-06,0.0019737726,-6.7963436E-07,0.85000264,-0.023967821,0.85010673,-0.040825489,419.27311,0.25084693,802.26416,0.96489806,802.58724,801.59517,356.3821435,0.20979923,0.96489806,0.035101939,0.20035459,0.95996724,0.040032763,0.80952380952380953,92.952112,98.845077
DP 6,0.8,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.023509536000000004,0.0103298529782,0.00015385999999995015,7.24992551E-06,0.00015007000000000215,0.034150568903709953,0.044346036900000003,0.078496605803709957,0.20971103,802.10985,-0.010338081,-8.2280218E-06,0.0028542871,-9.7809629E-07,0.80000379,-0.033847617,0.80015386,-0.047200324,603.39874,0.2566582,803.75381,0.96265744,804.28936,802.64695,482.718992,0.20971103,0.96265744,0.037342562,0.19604421,0.95554569,0.044454309,0.76190476190476186,93.081127,99.266226
DP 7,0.75,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.031213951999999996,0.013966320740000001,0.00021121999999995644,9.9340463E-06,0.00020601999999991794,0.045607446786299868,0.049200438099999994,0.094807884886299862,0.209604,803.30484,-0.013977595,-1.127426E-05,0.0039364819,-1.3402137E-06,0.7500052,-0.045191547,0.75021122,-0.05313692,826.79436,0.26487394,805.81212,0.95993888,806.64463,804.09716,620.09577,0.209604,0.95993888,0.040061124,0.19073741,0.95016292,0.049837077,0.7142857142857143,93.262912,99.805365
DP 8,0.7,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.039731129,0.018218944793000003,0.00028113000000007382,1.31932862E-05,0.00027423000000004194,0.058518627079200122,0.0539276765,0.11244630357920013,0.20947399,804.92401,-0.018233918,-1.4973207E-05,0.0052733345,-1.7799208E-06,0.7000069,-0.057965047,0.70028113,-0.059201011,1098.0562,0.27636002,808.60153,0.95663773,809.84282,806.05675,768.63934,0.20947399,0.95663773,0.043362274,0.18417677,0.9435969,0.056403104,0.66666666666666663,93.512704,100.49194
DP 9,0.65,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,800,0.049025442,0.023240570089,0.00036837999999994597,1.72373977E-05,0.00035935999999991974,0.073010989486699873,0.059070408100000006,0.13208139758669987,0.20931262,807.12004,-0.023260133,-1.9562911E-05,0.0069700599,-2.3255133E-06,0.65000902,-0.072285575,0.65036838,-0.066040468,1434.6451,0.29260908,812.38565,0.95254143,814.19294,808.70492,932.519315,0.20931262,0.95254143,0.047458572,0.17586842,0.93540255,0.064597452,0.61904761904761907,93.850032,101.37829
