# 
# 04/01/2026 10:08:30
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1073.15,1.2350999999999791E-08,-2.5613609357839997E-06,0,7.6347202E-11,0,-2.548933588582E-06,2.5551222519999997E-06,6.1886634179998524E-09,0.20999997,1073.1523,2.561273E-06,-8.7935784E-11,3.0348748E-08,-1.1588582E-11,1.05,2.548922E-06,1.05,-2.585471E-06,0.0069541899,5.4575519,1073.1517,0.96999996,1073.1522,1073.1507,0.007301899395,0.20999997,0.96999996,0.030000045,0.20999901,0.97000358,0.030000177,1,7.9648241,131.46736
DP 1,1.03,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.85,0.00010456000000000007,0.000531987972,1.4399999999969992E-05,6.85542349E-07,1.399999999995849E-05,0.00066563351434892847,0.01870265249,0.019368286004348926,0.2097268,1073.1746,-0.000532766,-7.78028E-07,0.00047940451,-9.2485651E-08,1.0300004,-0.000637326,1.0300144,-0.019182057,57.059417,5.457166,1073.1433,0.96930568,1073.187,1073.0067,58.77119951,0.2097268,0.96930568,0.030694324,0.20924053,0.96901004,0.030993718,0.980952380952381,7.9594926,131.56626
DP 2,1,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.05,0.0003173277999999999,0.0016134245847,4.3800000000038253E-05,2.07885613E-06,4.2700000000062133E-05,0.0020193312408301003,0.0460649779,0.048084309140830096,0.20917097,1073.1465,-0.0016157839,-2.3593153E-06,0.0014538461,-2.8045917E-07,1.0000011,-0.0019331117,1.0000438,-0.047518824,173.02248,5.4525156,1073.0415,0.96789459,1073.1887,1072.5802,173.02248,0.20917097,0.96789459,0.032105409,0.20769903,0.9669914,0.033012356,0.95238095238095233,7.9550279,131.75587
DP 3,0.95,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1069.55,0.0009091818000000005,0.0046195188849,0.00012591000000006236,5.9488507E-06,0.00012279000000003926,0.0057833495356001017,0.088734235700000011,0.09451758523560011,0.20762309,1073.2479,-0.0046262703,-6.7514151E-06,0.0041623473,-8.025644E-07,0.95000312,-0.0055354521,0.95012591,-0.092896583,495.11567,5.4458299,1072.8947,0.96397517,1073.3901,1071.3394,470.3598865,0.20762309,0.96397517,0.03602483,0.20341898,0.96138969,0.038614065,0.90476190476190477,7.9424984,132.29339
DP 4,0.9,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1064.25,0.0019728180000000012,0.010009352228999999,0.00027407999999995436,1.2878342E-05,0.00026733999999994928,0.012536468570999904,0.1255930751,0.13812954367099992,0.20483672,1073.5082,-0.010023968,-1.4615771E-05,0.0090175149,-1.737429E-06,0.90000674,-0.011996786,0.90027408,-0.13461059,1071.8457,5.4336619,1072.6253,0.95695696,1073.8622,1068.7334,964.66113000000007,0.20483672,0.95695696,0.043043043,0.19575561,0.95137815,0.048625605,0.8571428571428571,7.9218906,133.23611
DP 5,0.85,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1054.85,0.0036714269999999979,0.018649107049,0.00051391000000000631,2.39595471E-05,0.00050136999999994547,0.023359773596099948,0.15457856,0.17793833359609995,0.20033938,1074.4902,-0.018676299,-2.7191951E-05,0.0168037,-3.2324039E-06,0.85001254,-0.022347726,0.85051391,-0.17138226,1994.1144,5.433971,1072.6212,0.94573339,1075.235,1064.3714,1694.99724,0.20033938,0.94573339,0.054266611,0.18348699,0.93541536,0.064588391,0.80952380952380942,7.8863449,134.74976
DP 6,0.8,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1039.85,0.0060387579999999982,0.030759478496,0.00085502999999997886,3.9455526100000005E-05,0.00083438000000002344,0.0385271020221,0.175227155,0.2137542570221,0.19396231,1076.3134,-0.030804257,-4.4778504E-05,0.027725205,-5.3229779E-06,0.80002065,-0.036843015,0.80085503,-0.20295236,3283.8157,5.4460814,1072.8521,0.93003753,1077.6815,1057.5517,2627.05256,0.19396231,0.93003753,0.069962469,0.16630173,0.91317817,0.086825588,0.76190476190476186,7.8431229,136.80436
DP 7,0.75,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1018.05,0.0089973810000000057,0.045802575601,0.0012898500000000368,5.8707177E-05,0.0012591299999999972,0.057407643778000034,0.18880867,0.24621631377800005,0.18589401,1078.6241,-0.045869203,-6.6627399E-05,0.04128458,-7.920222E-06,0.75003072,-0.054866584,0.75128985,-0.23009325,4886.0955,5.4517613,1072.8905,0.91053657,1080.87,1047.5043,3664.5716250000005,0.18589401,0.91053657,0.089463434,0.14505287,0.88567653,0.11432723,0.7142857142857143,7.8071703,139.18294
DP 8,0.7,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,989.94999999999993,0.012343371999999991,0.062726893647,0.0018029800000000096,8.0430460999999988E-05,0.0017608900000000149,0.078714566108000011,0.19790606100000002,0.27662062710800006,0.17659892,1081.7588,-0.062818175,-9.1281353E-05,0.056534559,-1.0850892E-05,0.70004209,-0.075161547,0.70180298,-0.25444062,6694.0682,5.4694289,1073.1044,0.8885312,1085.1271,1034.6797,4685.8477399999992,0.17659892,0.8885312,0.1114688,0.12196515,0.85484995,0.1451538,0.66666666666666663,7.733271,141.71368
DP 9,0.65,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,956.44999999999993,0.015851909999999997,0.07994755616,0.0023805199999999971,0.000102779874,0.0023267399999999938,0.10060950603399998,0.206112323,0.30672182903399997,0.16681083,1085.1838,-0.080064202,-0.00011664584,0.072006197,-1.3865966E-05,0.65005378,-0.095916112,0.65238052,-0.27811852,8554.109,5.4837813,1073.1284,0.86589152,1089.8777,1019.3278,5560.17085,0.16681083,0.86589152,0.13410848,0.10162571,0.82348672,0.17651703,0.61904761904761907,7.6625095,144.11957
